,join_col,G16PRERTRU_y,G16PREDCLI_y
432,001-Adams County,909.0,216.0
433,003-Precinct 2401-00,240.0,141.0
434,003-Precinct 2402-00,372.0,233.0
435,003-Precinct 2403-00,230.0,164.0
436,003-Precinct 2404-00,347.0,205.0
437,003-Precinct 2405-00,451.0,289.0
438,003-Precinct 2406-00,206.0,91.0
439,003-Precinct 2407-00,80.0,31.0
440,003-Precinct 2408-00,114.0,28.0
441,003-Precinct 2409-00,151.0,46.0
442,003-Precinct 2410-00,54.0,28.0
443,003-Precinct 2411-00,380.0,144.0
444,003-Precinct 2412-00,168.0,59.0
445,003-Precinct 2413-00,156.0,68.0
446,003-Precinct 2414-00,65.0,25.0
447,003-Precinct 2415-00,146.0,45.0
448,005-Precinct 1,626.0,314.0
449,005-Precinct 2,146.0,79.0
450,005-Precinct 3,81.0,372.0
451,005-Precinct 4,76.0,77.0
452,007-Precinct 01,133.0,31.0
453,007-Precinct 02,267.0,21.0
454,007-Precinct 03,95.0,7.0
455,009-Precinct 01,421.0,175.0
456,009-Precinct 02,539.0,177.0
457,009-Precinct 03,480.0,130.0
458,009-Precinct 04,533.0,151.0
459,009-Precinct 05,521.0,103.0
460,011-Bowman City,629.0,136.0
461,011-Bowman Four Seasons,363.0,29.0
462,011-Rhame,193.0,12.0
463,011-Scranton,261.0,50.0
464,013-Precinct 01,48.0,6.0
465,013-Precinct 02,229.0,39.0
466,013-Precinct 03,314.0,31.0
467,013-Precinct 04,128.0,16.0
468,013-Precinct 05,115.0,13.0
469,013-Precinct 06,61.0,14.0
470,015-Bismarck Civic Center,332.0,201.0
471,015-Centennial (Century Baptist),1470.0,536.0
472,015-City of Lincoln,1478.0,281.0
473,015-County 4-H Building 28,675.0,100.0
474,015-County 4-H Building 7,600.0,125.0
475,015-County 4-H Building 8,1232.0,210.0
476,015-Evangel Assembly of God 7,657.0,128.0
477,015-Evangel Assembly of God 8,1059.0,200.0
478,015-GracePoint Church 47,1888.0,779.0
479,015-GracePoint Church 7,867.0,251.0
480,015-Grimsrud School,764.0,354.0
481,015-Highland Acres School,652.0,311.0
482,015-Horizon (Century Baptist),2087.0,680.0
483,015-Legacy High School,934.0,274.0
484,015-Liberty School 7,870.0,209.0
485,015-Liberty School 8,646.0,131.0
486,015-Lord of Life Church,1356.0,440.0
487,015-Menoken School,311.0,47.0
488,015-Moses (Civic Center),1219.0,383.0
489,015-Myhre (Civic Center),468.0,181.0
490,015-ND State Capitol Building,781.0,628.0
491,015-Northridge School,890.0,380.0
492,015-Pioneer School,676.0,326.0
493,015-Regan (Wilton County Shop),115.0,26.0
494,015-Riverwood (Civic Center),542.0,205.0
495,015-Robert Miller School,1018.0,375.0
496,015-Roosevelt School,437.0,260.0
497,015-Senior Center,1022.0,417.0
498,015-Simle Middle School,671.0,292.0
499,015-Solheim School,1460.0,470.0
500,015-South Central High School,449.0,233.0
501,015-Sterling School,206.0,33.0
502,015-Sunrise School,1278.0,339.0
503,015-The Element,885.0,330.0
504,015-United Tribes Tech College,1174.0,345.0
505,015-Wachter (Civic Center),934.0,338.0
506,015-Wilton County Shop,231.0,46.0
507,015-Wing Fire Hall,198.0,17.0
508,017-1101 Olivet Lutheran Church,1459.0,1642.0
509,017-1102 Baymont Inn,1522.0,1648.0
510,017-1301 Westside Elem School,1455.0,846.0
511,017-1302 West Fargo City Hall,889.0,733.0
512,017-1303 Cambria Suites,1826.0,1198.0
513,017-1601 Meadowridge Bible Chapel,1024.0,1054.0
514,017-1602 Lutheran Church of the Cross,997.0,966.0
515,017-1603 Scheels Arena,1502.0,1089.0
516,017-1604 Journey In Faith Church,714.0,340.0
517,017-2001 Northern Cass PSD,260.0,125.0
518,017-2101 Robert D Johnson Rec Ctr,1125.0,1714.0
519,017-2102 Fargo Public Library,1207.0,1251.0
520,017-2201 Page Senior Ctr,148.0,57.0
521,017-2202 Arthur Community Hall,297.0,126.0
522,017-2203 Buffalo Community Center,186.0,82.0
523,017-2204 Days Inn Casselton,924.0,463.0
524,017-2205 Mapleton Community Ctr,499.0,213.0
525,017-2206 Triumph West,1941.0,1078.0
526,017-2207 Davenport Community Ctr,310.0,124.0
527,017-2208 Horace Senior Center,1221.0,641.0
528,017-2401 Tower City Community Ctr,146.0,44.0
529,017-2402 Alice Nu Tech Office,212.0,87.0
530,017-2501 Hickson Community Center,294.0,94.0
531,017-2502 Kindred City Hall,369.0,123.0
532,017-2701 West Acres-Main Entrance,471.0,533.0
533,017-2702 Living Waters Church,1684.0,1341.0
534,017-2703 Calvary United Methodist,2664.0,1695.0
535,017-4101 Bethel Evangelical Church,2085.0,1689.0
536,017-4102 First Assembly of God,1719.0,1241.0
537,017-4401 El Zagal Shrine,1656.0,2026.0
538,017-4402 Knollbrook Covenant Chrch,1506.0,1415.0
539,017-4501 FargoDome,1964.0,1721.0
540,017-4502 Reiles Acres Community Cn,659.0,274.0
541,017-4503 Harwood Community Center,712.0,311.0
542,017-4504 Argusville Fire Hall,303.0,103.0
543,017-4601 The Bowler,1004.0,1018.0
544,017-4602 Atonement Lutheran Church,1718.0,1388.0
545,017-4603 Riverview Place,1144.0,868.0
546,019-Precinct 1,1357.0,476.0
547,021-Precinct 01,724.0,181.0
548,021-Precinct 02,108.0,31.0
549,021-Precinct 03,835.0,342.0
550,023-Precinct 1,425.0,121.0
551,023-Precinct 2,198.0,70.0
552,023-Precinct 3,123.0,37.0
553,023-Precinct 4,121.0,17.0
554,025-Antelope - Twin Buttes,24.0,91.0
555,025-Collins/Halliday,182.0,20.0
556,025-Dodge/Loring,75.0,14.0
557,025-Dunn Center/Decorah,268.0,33.0
558,025-Killdeer City 36,22.0,1.0
559,025-Killdeer City 39,399.0,52.0
560,025-Killdeer Unorganized,146.0,12.0
561,025-Kyseth,78.0,11.0
562,025-Manning,263.0,29.0
563,025-New Hradec,197.0,23.0
564,025-North Fox,10.0,65.0
565,025-Oakdale,107.0,7.0
566,027-Precinct 01,434.0,194.0
567,027-Precinct 02,357.0,161.0
568,029-Precinct 1,379.0,53.0
569,029-Precinct 2,334.0,44.0
570,029-Precinct 3,343.0,43.0
