,join_col,G16PRERTRU_x,G16PREDCLI_x
0,001-39-01003901,909.0,216.0
1,003-24-01002401,240.0,141.0
2,003-24-02002402,372.0,233.0
3,003-24-03002403,230.0,164.0
4,003-24-04002404,347.0,205.0
5,003-24-05002405,451.0,289.0
6,003-24-07002407,80.0,31.0
7,003-24-13002413,156.0,68.0
8,003-24-06002406,206.0,91.0
9,003-24-09002409,151.0,46.0
10,003-24-10002410,54.0,28.0
11,003-24-11002411,380.0,144.0
12,003-24-08002408,114.0,28.0
13,003-24-12002412,168.0,59.0
14,003-24-14002414,65.0,25.0
15,003-24-15002415,146.0,45.0
16,005-14-01001401,626.0,314.0
17,005-23-01002301,146.0,79.0
18,005-23-02002302,81.0,372.0
19,005-23-03002303,76.0,77.0
20,007-39-01003901,133.0,31.0
21,007-39-02003902,267.0,21.0
22,007-39-03003903,95.0,7.0
23,009-06-01000601,521.0,103.0
24,009-06-02000602,533.0,151.0
25,009-06-03000603,480.0,130.0
26,009-06-04000604,539.0,177.0
27,009-06-05000605,421.0,175.0
28,011-39-01003901,629.0,136.0
29,011-39-02003902,363.0,29.0
30,011-39-03003903,193.0,12.0
31,011-39-04003904,261.0,50.0
32,013-02-01000201,48.0,6.0
33,013-02-02000202,229.0,39.0
34,013-02-03000203,314.0,31.0
35,013-02-04000204,128.0,16.0
36,013-02-05000205,115.0,13.0
37,013-02-06000206,61.0,14.0
38,015-07-01000701,1478.0,281.0
39,015-07-02000702,867.0,251.0
40,015-07-03000703,1278.0,339.0
41,015-07-06000706,870.0,209.0
42,015-07-07000707,885.0,330.0
43,015-07-08000708,934.0,274.0
44,015-08-04000804,1232.0,210.0
45,015-08-05000805,1059.0,200.0
46,015-08-06000806,646.0,131.0
47,015-28-02002802,311.0,47.0
48,015-30-01003001,1174.0,345.0
49,015-07-04000704,600.0,125.0
50,015-28-03002803,675.0,100.0
51,015-07-05000705,657.0,128.0
52,015-08-01000801,231.0,46.0
53,015-28-01002801,206.0,33.0
54,015-08-02000802,115.0,26.0
55,015-08-03000803,198.0,17.0
56,015-30-04003004,1460.0,470.0
57,015-32-05003205,934.0,338.0
58,015-35-05003505,1018.0,375.0
59,015-30-02003002,1022.0,417.0
60,015-32-07003207,542.0,205.0
61,015-30-03003003,1356.0,440.0
62,015-32-03003203,332.0,201.0
63,015-35-01003501,652.0,311.0
64,015-35-02003502,781.0,628.0
65,015-32-01003201,449.0,233.0
66,015-32-06003206,1219.0,383.0
67,015-32-02003202,437.0,260.0
68,015-35-03003503,890.0,380.0
69,015-32-04003204,468.0,181.0
70,015-35-04003504,676.0,326.0
71,015-35-06003506,671.0,292.0
72,015-47-01004701,2087.0,680.0
73,015-47-02004702,1888.0,779.0
74,015-47-03004703,764.0,354.0
75,015-47-04004704,1470.0,536.0
76,017-11-01011-01,1459.0,1642.0
77,017-11-02011-02,1522.0,1648.0
78,017-13-01013-01,1455.0,846.0
79,017-16-02016-02,997.0,966.0
80,017-16-03016-03,1502.0,1089.0
81,017-20-01020-01,260.0,125.0
82,017-21-02021-02,1207.0,1251.0
83,017-22-04022-04,924.0,463.0
84,017-22-08022-08,1221.0,641.0
85,017-27-03027-03,2664.0,1695.0
86,017-44-01044-01,1656.0,2026.0
87,017-13-02013-02,889.0,733.0
88,017-13-03013-03,1826.0,1198.0
89,017-16-01016-01,1024.0,1054.0
90,017-21-01021-01,1125.0,1714.0
91,017-22-05022-05,499.0,213.0
92,017-16-04016-04,714.0,340.0
93,017-27-02027-02,1684.0,1341.0
94,017-22-01022-01,148.0,57.0
95,017-25-01025-01,294.0,94.0
96,017-22-02022-02,297.0,126.0
97,017-22-03022-03,186.0,82.0
98,017-22-07022-07,310.0,124.0
99,017-24-02024-02,212.0,87.0
100,017-22-06022-06,1941.0,1078.0
101,017-41-02041-02,1719.0,1241.0
102,017-24-01024-01,146.0,44.0
103,017-25-02025-02,369.0,123.0
104,017-27-01027-01,471.0,533.0
105,017-41-01041-01,2085.0,1689.0
106,017-44-02044-02,1506.0,1415.0
107,017-45-01045-01,1964.0,1721.0
108,017-45-02045-02,659.0,274.0
109,017-45-03045-03,712.0,311.0
110,017-45-04045-04,303.0,103.0
111,017-46-03046-03,1144.0,868.0
112,017-46-02046-02,1718.0,1388.0
113,017-46-01046-01,1004.0,1018.0
114,019-10-01001001,1357.0,476.0
115,021-26-01002601,108.0,31.0
116,021-26-02002602,835.0,342.0
117,021-28-01002801,724.0,181.0
118,023-02-01000201,425.0,121.0
119,023-02-02000202,198.0,70.0
120,023-02-03000203,123.0,37.0
121,023-02-04000204,121.0,17.0
122,025-04-01000401,24.0,91.0
123,025-04-02000402,182.0,20.0
124,025-04-03000403,268.0,33.0
125,025-04-04000404,75.0,14.0
126,025-04-05000405,10.0,65.0
127,025-36-04003604,22.0,1.0
128,025-36-01003601,263.0,29.0
129,025-36-02003602,197.0,23.0
130,025-36-03003603,78.0,11.0
131,025-39-01003901,107.0,7.0
132,025-39-02003902,146.0,12.0
133,025-39-03003903,399.0,52.0
134,027-23-01002301,434.0,194.0
135,027-23-02002302,357.0,161.0
136,029-28-01002801,379.0,53.0
137,029-28-02002802,334.0,44.0
138,029-28-03002803,343.0,43.0
139,029-28-04002804,287.0,49.0
140,029-28-05002805,334.0,26.0
141,031-29-01002901,75.0,29.0
142,031-29-02002902,36.0,21.0
143,031-29-03002903,70.0,19.0
144,031-29-04002904,330.0,45.0
145,031-29-05002905,372.0,119.0
146,031-29-06002906,358.0,114.0
147,033-39-01003901,796.0,99.0
148,035-17-01001701,450.0,191.0
149,035-17-02001702,1209.0,862.0
150,035-17-03001703,1112.0,871.0
151,035-18-01001801,351.0,130.0
152,035-18-02001802,380.0,307.0
153,035-18-04001804,346.0,320.0
154,035-18-05001805,653.0,628.0
155,035-19-01001901,355.0,132.0
156,035-19-04001904,469.0,153.0
157,035-17-04001704,962.0,660.0
158,035-17-05001705,1263.0,708.0
159,035-18-03001803,248.0,194.0
160,035-18-07001807,808.0,576.0
161,035-18-06001806,64.0,101.0
162,035-19-02001902,255.0,83.0
163,035-19-03001903,818.0,259.0
164,035-20-01002001,414.0,147.0
165,035-20-02002002,1081.0,375.0
166,035-42-01004201,562.0,363.0
167,035-42-02004202,475.0,575.0
168,035-42-03004203,680.0,411.0
169,035-42-04004204,617.0,517.0
170,035-43-01004301,920.0,672.0
171,035-43-02004302,762.0,656.0
172,035-43-03004303,614.0,506.0
173,035-43-04004304,376.0,356.0
174,035-43-05004305,96.0,98.0
175,037-31-02003102,105.0,16.0
176,037-31-03003103,238.0,57.0
177,037-31-05003105,117.0,29.0
178,039-23-01002301,175.0,57.0
179,039-23-02002302,149.0,74.0
180,039-23-03002303,189.0,77.0
181,039-23-04002304,141.0,57.0
182,039-23-05002305,193.0,33.0
183,041-31-01003101,520.0,84.0
184,041-31-02003102,94.0,11.0
185,041-36-01003601,316.0,64.0
186,041-36-02003602,120.0,9.0
187,043-14-01001401,80.0,31.0
188,043-14-02001402,60.0,19.0
189,043-14-03001403,54.0,14.0
190,043-14-04001404,534.0,79.0
191,043-14-05001405,118.0,10.0
192,043-14-06001406,265.0,26.0
193,045-28-01002801,513.0,151.0
194,045-29-01002901,159.0,29.0
195,045-29-02002902,260.0,132.0
196,045-29-03002903,549.0,190.0
197,047-28-01002801,242.0,17.0
198,047-28-02002802,347.0,46.0
199,047-28-03002803,172.0,41.0
200,047-28-04002804,57.0,3.0
201,047-28-05002805,70.0,7.0
202,049-06-01000601,169.0,32.0
203,049-06-02000602,159.0,14.0
204,049-06-03000603,441.0,95.0
205,049-06-04000604,241.0,34.0
206,049-06-05000605,628.0,191.0
207,049-06-06000606,140.0,30.0
208,049-06-07000607,138.0,61.0
209,049-06-08000608,134.0,33.0
210,051-28-01002801,324.0,56.0
211,051-28-02002802,160.0,35.0
212,051-28-03002803,40.0,23.0
213,051-28-04002804,315.0,82.0
214,051-28-05002805,120.0,22.0
215,051-28-06002806,141.0,17.0
216,053-04-01000401,41.0,183.0
217,053-04-02000402,21.0,132.0
218,053-39-01003901,144.0,17.0
219,053-39-02003902,104.0,13.0
220,053-39-06003906,1162.0,176.0
221,053-39-03003903,342.0,33.0
222,053-39-04003904,231.0,15.0
223,053-39-05003905,1169.0,98.0
224,053-39-07003907,84.0,2.0
225,053-39-08003908,157.0,5.0
226,053-39-09003909,215.0,24.0
227,055-04-01000401,495.0,119.0
228,055-04-02000402,24.0,185.0
229,055-08-01000801,3341.0,777.0
230,057-04-01000401,4.0,5.0
231,057-33-01003301,233.0,85.0
232,057-33-02003302,165.0,28.0
233,057-33-05003305,199.0,21.0
234,057-33-06003306,210.0,16.0
235,059-31-01003101,222.0,36.0
236,059-31-02003102,220.0,25.0
237,059-31-03003103,567.0,104.0
238,059-31-04003104,465.0,124.0
239,059-31-05003105,1244.0,310.0
240,059-31-06003106,369.0,170.0
241,059-33-01003301,674.0,109.0
242,059-33-02003302,1179.0,222.0
243,059-33-03003303,137.0,15.0
244,059-34-01003401,1257.0,362.0
245,059-34-02003402,1417.0,446.0
246,059-34-06003406,392.0,166.0
247,059-34-03003403,635.0,272.0
248,059-34-04003404,593.0,213.0
249,059-34-05003405,653.0,278.0
250,059-34-07003407,468.0,148.0
251,059-36-01003601,383.0,39.0
252,059-36-02003602,461.0,41.0
253,061-02-01000201,789.0,130.0
254,061-02-02000202,341.0,33.0
255,061-02-03000203,133.0,14.0
256,061-04-01000401,176.0,45.0
257,061-04-02000402,244.0,226.0
258,061-04-03000403,183.0,30.0
259,061-04-05000405,299.0,171.0
260,061-04-07000407,160.0,551.0
261,063-23-01002301,1025.0,536.0
262,065-33-01003301,177.0,21.0
263,065-33-02003302,98.0,15.0
264,065-33-03003303,75.0,17.0
265,065-33-04003304,56.0,7.0
266,065-33-05003305,123.0,13.0
267,065-33-06003306,165.0,16.0
268,065-33-07003307,136.0,30.0
269,067-10-01001001,416.0,105.0
270,067-10-02001002,461.0,121.0
271,067-10-03001003,491.0,160.0
272,067-10-04001004,487.0,131.0
273,067-10-05001005,149.0,63.0
274,067-10-06001006,204.0,101.0
275,069-14-01001401,84.0,12.0
276,069-14-02001402,92.0,28.0
277,069-14-03001403,241.0,35.0
278,069-14-04001404,142.0,60.0
279,069-14-05001405,46.0,23.0
280,069-14-06001406,303.0,89.0
281,069-14-07001407,206.0,64.0
282,069-14-08001408,323.0,120.0
283,071-15-01001501,300.0,108.0
284,071-15-02001502,794.0,274.0
285,071-15-03001503,1641.0,945.0
286,071-15-04001504,482.0,178.0
287,073-24-01002401,161.0,166.0
288,073-24-02002402,287.0,176.0
289,073-26-01002601,443.0,356.0
290,073-26-02002602,319.0,140.0
291,075-06-01000601,167.0,30.0
292,075-06-02000602,90.0,19.0
293,075-06-03000603,441.0,101.0
294,075-06-04000604,57.0,12.0
295,075-06-05000605,238.0,39.0
296,077-25-01002501,342.0,159.0
297,077-25-02002502,180.0,75.0
298,077-25-04002504,149.0,68.0
299,077-25-07002507,123.0,52.0
300,077-25-08002508,541.0,200.0
301,077-25-11002511,690.0,318.0
302,077-26-01002601,123.0,19.0
303,077-26-02002602,235.0,103.0
304,077-26-04002604,333.0,113.0
305,077-26-05002605,166.0,55.0
306,077-25-05002505,214.0,60.0
307,077-26-03002603,382.0,217.0
308,077-25-06002506,198.0,74.0
309,077-25-09002509,558.0,279.0
310,079-09-01000901,366.0,189.0
311,079-09-02000902,181.0,212.0
312,079-09-03000903,143.0,1051.0
313,079-09-04000904,208.0,483.0
314,079-09-05000905,319.0,164.0
315,081-26-01002601,247.0,184.0
316,081-26-02002602,294.0,120.0
317,081-26-03002603,131.0,89.0
318,081-26-04002604,281.0,195.0
319,081-26-05002605,135.0,106.0
320,083-07-01000701,650.0,95.0
321,085-31-01003101,18.0,138.0
322,085-31-02003102,47.0,23.0
323,085-31-03003103,16.0,57.0
324,085-31-04003104,129.0,44.0
325,085-31-05003105,27.0,235.0
326,085-31-06003106,23.0,261.0
327,087-39-01003901,106.0,14.0
