,STATEFP,COUNTYFP,PRECINCT,G20PRERTRU_x,G20PREDBID_x,G20PRELJOR_x,G20PREOWRI_x,G20HALRARM_x,G20HALDRAK_x,G20HALLPET_x,G20HALOWRI_x,G20GOVRBUR_x,G20GOVDLEN_x,G20GOVLHEN_x,G20GOVOWRI_x,G20AUDRGAL_x,G20AUDDHAR_x,G20AUDOWRI_x,G20TRERBEA_x,G20TREDHAU_x,G20TREOWRI_x,G20INSRGOD_x,G20INSOWRI_x,G20PSCRKRO_x,G20PSCDBUC_x,G20PSCOWRI_x,geometry,join_col,County,Precinct,G20PRERTRU_y,G20PREDBID_y,G20PRELJOR_y,G20PREOWRI_y,G20HALRARM_y,G20HALDRAK_y,G20HALLPET_y,G20HALOWRI_y,G20GOVRBUR_y,G20GOVDLEN_y,G20GOVLHEN_y,G20GOVOWRI_y,G20AUDRGAL_y,G20AUDDHAR_y,G20AUDOWRI_y,G20TRERBEA_y,G20TREDHAU_y,G20TREOWRI_y,G20INSRGOD_y,G20INSOWRI_y,G20PSCRKRO_y,G20PSCDBUC_y,G20PSCOWRI_y,_merge
422,,,,,,,,,,,,,,,,,,,,,,,,,,,,015-Century Baptist Church 4701,015,Century Baptist Church 4701,2400.0,953.0,65.0,22.0,2576.0,754.0,60.0,1.0,2251.0,739.0,114.0,282.0,2441.0,823.0,11.0,2253.0,998.0,16.0,2825.0,51.0,2465.0,800.0,1.0,right_only
423,,,,,,,,,,,,,,,,,,,,,,,,,,,,015-Century Baptist Church 4704,015,Century Baptist Church 4704,1574.0,723.0,61.0,18.0,1688.0,584.0,63.0,1.0,1535.0,589.0,89.0,147.0,1599.0,657.0,4.0,1506.0,748.0,9.0,1918.0,35.0,1641.0,614.0,2.0,right_only
424,,,,,,,,,,,,,,,,,,,,,,,,,,,,017-1604 Faith Journey Church,017,1604 Faith Journey Church,834.0,607.0,44.0,13.0,952.0,473.0,44.0,1.0,1037.0,418.0,30.0,9.0,917.0,506.0,0.0,912.0,532.0,1.0,1229.0,33.0,921.0,486.0,0.0,right_only
425,,,,,,,,,,,,,,,,,,,,,,,,,,,,017-4102 Northview Church (formerly First Assembly),017,4102 Northview Church (formerly First Assembly),1725.0,1622.0,90.0,36.0,1934.0,1346.0,118.0,2.0,2113.0,1233.0,73.0,34.0,1877.0,1451.0,11.0,1888.0,1432.0,12.0,2697.0,103.0,1872.0,1422.0,4.0,right_only
426,,,,,,,,,,,,,,,,,,,,,,,,,,,,047-Precinct 01- American Legion,047,Precinct 01- American Legion,255.0,28.0,4.0,1.0,248.0,28.0,7.0,0.0,173.0,31.0,15.0,59.0,223.0,42.0,0.0,216.0,46.0,4.0,246.0,1.0,233.0,34.0,1.0,right_only
427,,,,,,,,,,,,,,,,,,,,,,,,,,,,047-Precinct 02-American Legion,047,Precinct 02-American Legion,354.0,50.0,4.0,2.0,351.0,38.0,7.0,0.0,285.0,36.0,20.0,66.0,332.0,57.0,0.0,315.0,72.0,0.0,352.0,0.0,324.0,57.0,1.0,right_only
428,,,,,,,,,,,,,,,,,,,,,,,,,,,,047-Precinct 04 -Lehr Com Cent.,047,Precinct 04 -Lehr Com Cent.,59.0,5.0,0.0,0.0,58.0,7.0,0.0,0.0,52.0,3.0,0.0,9.0,52.0,11.0,0.0,56.0,4.0,2.0,56.0,0.0,58.0,5.0,0.0,right_only
429,,,,,,,,,,,,,,,,,,,,,,,,,,,,065-Precinct 02-Center /West Side,065,Precinct 02-Center /West Side,104.0,17.0,5.0,0.0,99.0,18.0,6.0,0.0,89.0,16.0,8.0,10.0,94.0,25.0,0.0,87.0,31.0,1.0,105.0,1.0,88.0,30.0,0.0,right_only
430,,,,,,,,,,,,,,,,,,,,,,,,,,,,069-Precinct 04- 1ST WARD 1ST,069,Precinct 04- 1ST WARD 1ST,141.0,55.0,7.0,3.0,144.0,50.0,9.0,0.0,136.0,44.0,7.0,16.0,133.0,67.0,0.0,138.0,63.0,0.0,180.0,0.0,135.0,64.0,0.0,right_only
431,,,,,,,,,,,,,,,,,,,,,,,,,,,,069-Precinct 05- 1ST WARD 2ND,069,Precinct 05- 1ST WARD 2ND,56.0,26.0,1.0,1.0,59.0,20.0,3.0,1.0,58.0,19.0,2.0,3.0,52.0,26.0,0.0,54.0,24.0,2.0,70.0,0.0,53.0,24.0,0.0,right_only
432,,,,,,,,,,,,,,,,,,,,,,,,,,,,069-Precinct 06 -2ND WARD,069,Precinct 06 -2ND WARD,308.0,108.0,3.0,1.0,321.0,88.0,7.0,2.0,317.0,72.0,12.0,20.0,299.0,103.0,1.0,295.0,110.0,2.0,365.0,6.0,301.0,99.0,2.0,right_only
433,,,,,,,,,,,,,,,,,,,,,,,,,,,,069-Precinct 07-3RD WARD,069,Precinct 07-3RD WARD,219.0,73.0,6.0,0.0,225.0,59.0,6.0,0.0,217.0,45.0,11.0,21.0,203.0,75.0,1.0,198.0,84.0,3.0,245.0,1.0,202.0,71.0,0.0,right_only
434,,,,,,,,,,,,,,,,,,,,,,,,,,,,079- Rolla #1,079, Rolla #1,377.0,257.0,12.0,0.0,384.0,236.0,19.0,0.0,385.0,226.0,18.0,11.0,348.0,269.0,1.0,338.0,282.0,1.0,511.0,15.0,342.0,271.0,0.0,right_only
435,,,,,,,,,,,,,,,,,,,,,,,,,,,,099-Precinct 2 -District 10,099,Precinct 2 -District 10,1065.0,456.0,32.0,7.0,1115.0,378.0,33.0,2.0,1063.0,345.0,32.0,114.0,1004.0,471.0,0.0,969.0,500.0,5.0,1274.0,20.0,981.0,466.0,2.0,right_only
